"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";
"C5";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C10";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";
"C11";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"IC1";"MAX17043X+T10";"MAX17043X+T10";"BGA9C40P3X3_160X142X69";"IC FUEL GAUGE LI-ION 1CELL 9UCSP";"IC FUEL GAUGE LI-ION 1CELL 9UCSP";"0.69mm";"Maxim Integrated";"MAX17043X+T10";"";"700-MAX17043X+T10";"https://www.mouser.com/Search/Refine.aspx?Keyword=700-MAX17043X%2BT10";"";"";"";
"J1";"XF2L-0535-1";"XF2L-0535-1";"XF2L-0535-1";"OMRON FPC Connector";"";"";"";"";"";"";"";"XF2L-0535-1A";"unknown";"37M0863";
"LED3";"APHB1608SYKSURKC";"APHB1608SYKSURKC";"APHB1608ZGSURKC";"LED RED/YLW CLEAR 0603 SMD";"LED RED/YLW CLEAR 0603 SMD";"0mm";"Kingbright";"APHB1608SYKSURKC";"";"604-APHB1608SYKSURKC";"https://www.mouser.com/Search/Refine.aspx?Keyword=604-APHB1608SYKSURKC";"";"";"";
"R6";"1K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R7";"470";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R8";"4.7K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R9";"2K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";
"R10";"4.7K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R11";"180";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R13";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"U2";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"";"";"";"";
"X1";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";
"X2";"MicroB";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";"";"";"";"";"";"";"";"";"";
"X3";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";
